Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,175.13,-127.75,0.0,top
C10,0.1,C_0402_1005Metric,211.78,-135.0,180.0,top
C11,100,CP_Radial_D6.3mm_P2.50mm,205.0,-136.25,90.0,top
C12,0.1,C_0402_1005Metric,242.5,-105.48,-90.0,top
C2,0.1uF,C_0402_1005Metric,175.13,-129.75,0.0,top
C3,0.1uF,C_0402_1005Metric,175.13,-131.75,0.0,top
C4,0.1uF,C_0402_1005Metric,178.77,-127.75,180.0,top
C5,0.1uF,C_0402_1005Metric,185.78,-127.75,0.0,top
C6,10uF,C_0603_1608Metric,189.125,-127.75,180.0,top
C7,0.1,C_0402_1005Metric,171.23,-109.0,180.0,top
C8,0.1,C_0402_1005Metric,216.23,-109.0,180.0,top
C9,100,CP_Radial_D6.3mm_P2.50mm,250.0,-106.25,-90.0,top
F1,Fuse,Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open,153.75,-113.5,-90.0,top
IC1,NJM7805SDL1-TE1,NJM7805SDL1TE1,176.95,-120.7,0.0,top
IC2,NJM2391DL1-33-TE1,NJM2391DL1-33-TE1,187.6,-120.7,0.0,top
J1,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,171.25,-104.18,180.0,top
J2,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,216.25,-104.18,180.0,top
J3,Conn_01x07_Pin,PinSocket_1x07_P2.54mm_Vertical,204.38,-117.5,-90.0,top
J4,Conn_01x07_Pin,PinSocket_1x07_P2.54mm_Vertical,204.64,-130.2,-90.0,top
J5,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,182.15,-104.18,180.0,top
J6,Conn_02x05_Odd_Even,IDC-Header_2x05_P2.54mm_Vertical,200.0,-105.23,90.0,top
J8,Conn_01x07_Pin,PinSocket_1x07_P2.54mm_Vertical,225.0,-112.62,0.0,top
J9,Conn_01x07_Pin,PinSocket_1x07_P2.54mm_Vertical,237.7,-112.62,0.0,top
SW1,SW_Push_DPDT,Toggle,165.25,-120.0,90.0,top
