Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
12V,Conn_01x01_Socket,TestPoint_Keystone_5000-5004_Miniature,154.0,-90.0,-90.0,top
3.3V,Conn_01x01_Socket,TestPoint_Keystone_5000-5004_Miniature,154.0,-95.0,-90.0,top
C1,330,CP_Radial_D10.0mm_P5.00mm,193.0,-74.0,0.0,top
C10,0.1u,C_0603_1608Metric,162.0,-89.0475,180.0,top
C11,0.1u,C_0603_1608Metric,162.0,-85.2375,180.0,top
C12,0.1u,C_0603_1608Metric,158.5,-95.25,-90.0,top
C13,0.1u,C_0603_1608Metric,158.5,-92.25,90.0,top
C14,0.1u,C_0603_1608Metric,158.5,-89.195,-90.0,top
C15,0.1u,C_0603_1608Metric,158.5,-84.6025,90.0,top
C16,0.1u,C_0603_1608Metric,164.0,-82.5,-90.0,top
C17,10nF,C_0603_1608Metric,168.5,-76.0,0.0,top
C18,1000,CP_Radial_D10.0mm_P5.00mm,160.5,-74.0,180.0,top
C19,330,CP_Radial_D10.0mm_P5.00mm,193.0,-126.0,0.0,top
C2,47,CP_Radial_D6.3mm_P2.50mm,184.5,-94.525,90.0,top
C20,47,CP_Radial_D6.3mm_P2.50mm,184.5,-114.525,90.0,top
C21,0.1u,C_0603_1608Metric,177.0,-103.0,180.0,top
C22,0.1u,C_0603_1608Metric,180.0,-115.0,-90.0,top
C23,0.1u,C_0603_1608Metric,177.0,-111.5,0.0,top
C24,0.1u,C_0603_1608Metric,176.5,-117.75,-90.0,top
C25,0.1u,C_0603_1608Metric,162.0,-114.7625,0.0,top
C26,0.1u,C_0603_1608Metric,162.0,-110.9525,180.0,top
C27,0.1u,C_0603_1608Metric,167.5,-118.5,0.0,top
C28,0.1u,C_0603_1608Metric,162.0,-109.0475,180.0,top
C29,0.1u,C_0603_1608Metric,162.0,-105.2375,180.0,top
C3,0.1u,C_0603_1608Metric,177.0,-83.3325,180.0,top
C30,0.1u,C_0603_1608Metric,158.5,-115.25,-90.0,top
C31,0.1u,C_0603_1608Metric,158.5,-112.225,90.0,top
C32,0.1u,C_0603_1608Metric,158.5,-109.0475,-90.0,top
C33,0.1u,C_0603_1608Metric,158.5,-104.6025,90.0,top
C34,0.1u,C_0603_1608Metric,163.5,-102.5,-90.0,top
C35,10nF,C_0603_1608Metric,168.5,-124.0,0.0,top
C36,1000,CP_Radial_D10.0mm_P5.00mm,160.5,-126.0,180.0,top
C4,0.1u,C_0603_1608Metric,180.0,-95.0,-90.0,top
C5,0.1u,C_0603_1608Metric,177.0,-91.5,0.0,top
C6,0.1u,C_0603_1608Metric,176.5,-97.75,-90.0,top
C7,0.1u,C_0603_1608Metric,162.0,-94.7625,0.0,top
C8,0.1u,C_0603_1608Metric,162.0,-90.9525,180.0,top
C9,0.1u,C_0603_1608Metric,163.5,-97.5,-90.0,top
FAULT1,Conn_01x01_Socket,TestPoint_Keystone_5000-5004_Miniature,154.0,-100.0,-90.0,top
FAULT2,Conn_01x01_Socket,TestPoint_Keystone_5000-5004_Miniature,154.0,-105.0,-90.0,top
GND,Conn_01x01_Socket,TestPoint_Keystone_5000-5004_Miniature,154.0,-110.0,-90.0,top
IC1,DRV8412DDWR,HTSSOP-44-1EP_6.1x14mm_P0.635mm_EP5.2x14mm_Mask4.31x8.26mm,170.0,-90.0,180.0,top
IC2,DRV8412DDWR,HTSSOP-44-1EP_6.1x14mm_P0.635mm_EP5.2x14mm_Mask4.31x8.26mm,170.0,-110.0,180.0,top
R1,30k,R_0603_1608Metric,177.0,-94.0,0.0,top
R10,1,R_0603_1608Metric,181.5,-108.25,0.0,top
R11,30k,R_0603_1608Metric,177.0,-108.25,180.0,top
R12,3.3,R_0603_1608Metric,172.0,-124.0,180.0,top
R2,30k,R_0603_1608Metric,177.0,-86.4,180.0,top
R3,10k,R_0603_1608Metric,177.0,-84.85,0.0,top
R4,1,R_0603_1608Metric,181.5,-88.5,0.0,top
R5,30k,R_0603_1608Metric,177.0,-88.5,0.0,top
R6,3.3,R_0603_1608Metric,172.0,-76.0,180.0,top
R7,30k,R_0603_1608Metric,177.0,-114.0,0.0,top
R8,30k,R_0603_1608Metric,177.0,-106.35,180.0,top
R9,10k,R_0603_1608Metric,177.0,-104.5,0.0,top
