Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
A1,Arduino_Nano_Every,Arduino_Nano,200.0,-100.0,0.0,top
J1,Conn_01x05_Socket,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,199.92,-133.89,180.0,bottom
U1,TSSP58038,Vishay_MINICAST-3Pin,200.0,-54.6212,180.0,top
U10,TSSP58038,Vishay_MINICAST-3Pin,217.265766,-142.024131,22.5,top
U11,TSSP58038,Vishay_MINICAST-3Pin,231.95313,-132.222183,45.0,top
U12,TSSP58038,Vishay_MINICAST-3Pin,241.824958,-117.465663,67.5,top
U13,TSSP58038,Vishay_MINICAST-3Pin,245.3788,-100.0,90.0,top
U14,TSSP58038,Vishay_MINICAST-3Pin,242.024131,-82.734234,112.5,top
U15,TSSP58038,Vishay_MINICAST-3Pin,232.222184,-68.04687,135.0,top
U16,TSSP58038,Vishay_MINICAST-3Pin,217.465663,-58.175041,157.5,top
U2,TSSP58038,Vishay_MINICAST-3Pin,182.734234,-57.975868,-157.5,top
U3,TSSP58038,Vishay_MINICAST-3Pin,168.046869,-67.777816,-135.0,top
U4,TSSP58038,Vishay_MINICAST-3Pin,158.175041,-82.534336,-112.5,top
U5,TSSP58038,Vishay_MINICAST-3Pin,154.6212,-100.0,-90.0,top
U6,TSSP58038,Vishay_MINICAST-3Pin,157.975868,-117.265766,-67.5,top
U7,TSSP58038,Vishay_MINICAST-3Pin,167.777816,-131.95313,-45.0,top
U8,TSSP58038,Vishay_MINICAST-3Pin,182.534336,-141.824958,-22.5,top
U9,TSSP58038,Vishay_MINICAST-3Pin,200.0,-145.3788,0.0,top
