Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1,C_0603_1608Metric,186.25,-138.275,90.0,top
C10,1,C_0603_1608Metric,210.62,-138.275,90.0,top
C11,0.1,C_0603_1608Metric,203.075,-121.25,0.0,top
C12,0.1,C_0603_1608Metric,203.075,-118.75,0.0,top
C13,0.1,C_0603_1608Metric,203.075,-116.25,0.0,top
C14,0.1,C_0603_1608Metric,196.925,-121.25,180.0,top
C2,100,C_Radial_D6.3mm_H7.0mm_P2.50mm,191.25,-138.75,-90.0,top
C3,0.1,C_0603_1608Metric,168.0,-138.275,90.0,top
C4,1,C_0603_1608Metric,171.25,-138.275,90.0,top
C5,0.1,C_0603_1608Metric,147.73,-110.0,180.0,top
C6,0.1,C_0603_1608Metric,246.23,-110.0,180.0,top
C7,0.1,C_0603_1608Metric,228.575,-138.275,90.0,top
C8,100,C_Radial_D6.3mm_H7.0mm_P2.50mm,233.5,-136.25,90.0,top
C9,0.1,C_0603_1608Metric,213.87,-138.275,90.0,top
F1,Fuse_Small,355715,163.11,-104.8,0.0,top
IC1,NJM7805SDL1-TE1,NJM7805SDL1TE1,200.0,-130.25,180.0,top
J1,main,IDC-Header_2x05_P2.54mm_Vertical,200.0,-104.98,90.0,top
J10,Conn_01x06_Pin,PinSocket_1x06_P2.54mm_Vertical,217.5,-131.15,180.0,top
J2,BLDCpower,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,220.9,-113.525,0.0,top
J3,BLDC,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,235.5,-104.0,180.0,top
J4,Conn_01x06_Pin,PinSocket_1x06_P2.54mm_Vertical,182.5,-131.15,180.0,top
J5,Conn_01x06_Pin,PinSocket_1x06_P2.54mm_Vertical,174.88,-131.15,180.0,top
J6,DCmotor_1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,147.75,-103.975,180.0,top
J7,DCmotor_2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,246.25,-104.0,180.0,top
J8,battery,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,181.45,-109.5,0.0,top
J9,Conn_01x06_Pin,PinSocket_1x06_P2.54mm_Vertical,225.12,-131.15,180.0,top
SW1,SW_SPDT,2MS1T2B4M2QES,162.46,-114.0,90.0,top
