半征Emm),高さ(mm),
0,22,
0.23,22.002,0.002
0.46,22.006,0.004
0.69,22.014,0.008
0.92,22.024,0.01
1.15,22.038,0.014
1.38,22.055,0.017
1.61,22.075,0.02
1.84,22.098,0.023
2.07,22.124,0.026
2.3,22.152,0.028
2.53,22.184,0.032
2.76,22.219,0.035
2.99,22.257,0.038
3.22,22.298,0.041
3.45,22.342,0.044
3.68,22.388,0.046
3.91,22.438,0.05
4.14,22.49,0.052
4.37,22.546,0.056
4.6,22.604,0.058
4.83,22.665,0.061
5.06,22.728,0.063
5.29,22.795,0.067
5.52,22.864,0.069
5.75,22.936,0.072
5.98,23.011,0.075
6.21,23.088,0.077
6.44,23.168,0.08
6.67,23.251,0.083
6.9,23.336,0.085
7.13,23.424,0.088
7.36,23.514,0.09
7.59,23.607,0.093
7.82,23.703,0.096
8.05,23.8,0.097
8.28,23.901,0.101
8.51,24.003,0.102
8.74,24.108,0.105
8.97,24.215,0.107
9.2,24.325,0.11
9.43,24.437,0.112
9.66,24.551,0.114
9.89,24.667,0.116
10.12,24.785,0.118
10.35,24.906,0.121
10.58,25.029,0.123
10.81,25.153,0.124
11.04,25.28,0.127
11.27,25.409,0.129
11.5,25.54,0.131
11.73,25.673,0.133
11.96,25.807,0.134
12.19,25.944,0.137
12.42,26.082,0.138
12.65,26.223,0.141
12.88,26.365,0.142
13.11,26.509,0.144
13.34,26.654,0.145
13.57,26.802,0.148
13.8,26.951,0.149
14.03,27.101,0.15
14.26,27.254,0.153
14.49,27.407,0.153
14.72,27.563,0.156
14.95,27.72,0.157
15.18,27.879,0.159
15.41,28.039,0.16
15.64,28.2,0.161
15.87,28.363,0.163
16.1,28.528,0.165
16.33,28.694,0.166
16.56,28.861,0.167
16.79,29.03,0.169
17.02,29.2,0.17
17.25,29.371,0.171
17.48,29.543,0.172
17.71,29.717,0.174
17.94,29.892,0.175
18.17,30.068,0.176
18.4,30.246,0.178
18.63,30.424,0.178
18.86,30.604,0.18
19.09,30.785,0.181
19.32,30.967,0.182
19.55,31.15,0.183
19.78,31.335,0.185
20.01,31.52,0.185
20.24,31.706,0.186
20.47,31.893,0.187
20.7,32.082,0.189
20.93,32.271,0.189
21.16,32.461,0.19
21.39,32.653,0.192
21.62,32.845,0.192
21.85,33.038,0.193
22.08,33.232,0.194
22.31,33.427,0.195
22.54,33.623,0.196
22.77,33.819,0.196
23,34.017,0.198
