Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1,C_0603_1608Metric,194.0,-78.0,270.0,bottom
C2,0.1,C_0603_1608Metric,192.0,-78.0,270.0,bottom
C3,4.7,C_0603_1608Metric,191.75,-71.0,90.0,bottom
C4,0.1,C_0603_1608Metric,194.0,-71.0,90.0,bottom
C5,0.1,C_0603_1608Metric,186.5,-83.5,0.0,bottom
C6,0.1,C_0603_1608Metric,195.5,-74.775,270.0,bottom
C7,22u,C_0603_1608Metric,183.0,-83.5,180.0,bottom
C8,0.1,C_0603_1608Metric,189.15,-68.6,90.0,bottom
C8,0.1,C_0603_1608Metric,179.5,-83.5,0.0,bottom
C9,0.1,C_0603_1608Metric,175.5,-72.5,270.0,bottom
IC1,STM32F446RET6,LQFP-64_10x10mm_P0.5mm,183.9,-75.6,0.0,bottom
J1,PC,PinHeader_1x07_P2.54mm_Horizontal,199.96,-141.25,-90.0,top
J2,main,JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical,206.75,-71.0,270.0,bottom
NRST,SW_Push,SKRPABE010,200.0,-74.475,0.0,top
R1,10k,R_0603_1608Metric,185.65,-61.5,270.0,bottom
R2,10k,R_0603_1608Metric,216.0,-71.825,270.0,bottom
SW2,SW_Push,TVGP01-G73BB,219.25,-68.5,0.0,top
U1,TSSP4038,Vishay_MINICAST-3Pin,200.0,-54.625,180.0,bottom
U10,TSSP4038,Vishay_MINICAST-3Pin,217.463863,-141.821431,337.5,bottom
U11,TSSP4038,Vishay_MINICAST-3Pin,232.219548,-131.950392,315.0,bottom
U12,TSSP4038,Vishay_MINICAST-3Pin,242.020636,-117.264658,292.5,bottom
U13,TSSP4038,Vishay_MINICAST-3Pin,245.375,-100.0,270.0,bottom
U14,TSSP4038,Vishay_MINICAST-3Pin,241.821431,-82.536136,247.5,bottom
U15,TSSP4038,Vishay_MINICAST-3Pin,231.950392,-67.780452,225.0,bottom
U16,TSSP4038,Vishay_MINICAST-3Pin,217.264658,-57.979363,202.5,bottom
U2,TSSP4038,Vishay_MINICAST-3Pin,182.536136,-58.178568,157.5,bottom
U3,TSSP4038,Vishay_MINICAST-3Pin,167.738025,-68.092034,135.0,bottom
U4,TSSP4038,Vishay_MINICAST-3Pin,157.956402,-82.790774,112.5,bottom
U5,TSSP4038,Vishay_MINICAST-3Pin,154.625,-100.06,90.0,bottom
U6,TSSP4038,Vishay_MINICAST-3Pin,158.201529,-117.519296,67.5,bottom
U7,TSSP4038,Vishay_MINICAST-3Pin,168.049608,-132.219548,45.0,bottom
U8,TSSP4038,Vishay_MINICAST-3Pin,182.790774,-142.043597,22.5,bottom
U9,TSSP4038,Vishay_MINICAST-3Pin,200.0,-145.375,0.0,bottom
