Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C10,C11,C12,C13,C14,C15,C16,C17,C18,C23,C27,C28,C29,C30,C31,C32,C33,C34",C_0603_1608Metric,C14663,18
1,"C1,C20,C22,C24,C25,C26,C3,C4,C5,C6",C_0603_1608Metric,C15849,10
10n,"C35,C9",C_0603_1608Metric,C57112,2
3.3,"R1,R6",R_0603_1608Metric,C22979,2
30k,"R10,R2,R3,R4,R5,R7,R8,R9",R_0603_1608Metric,C22984,8
DRV8412,"U1,U2",HTSSOP-44-1EP_6.1x14mm_P0.635mm_EP5.2x14mm_Mask4.31x8.26mm_ThermalVias,C79852,2
47,C19,CP_Radial_D6.3mm_P2.50mm,,1
1000,C8,CP_Radial_D10.0mm_P5.00mm,,1
330,C7,CP_Radial_D10.0mm_P5.00mm,,1
47,C2,CP_Radial_D6.3mm_P2.50mm,,1
1000,C36,CP_Radial_D10.0mm_P5.00mm,,1
330,C21,CP_Radial_D10.0mm_P5.00mm,,1
main,J1,PinSocket_2x10_P2.54mm_Vertical,,1
