Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1,C_0603_1608Metric,178.75,-90.75,-90.0,top
C10,0.1u,C_0603_1608Metric,164.5,-80.25,0.0,top
C11,0.1u,C_0603_1608Metric,164.5,-84.0,180.0,top
C12,0.1u,C_0603_1608Metric,164.5,-89.75,180.0,top
C13,0.1u,C_0603_1608Metric,164.5,-85.95,0.0,top
C14,0.1u,C_0603_1608Metric,183.5,-85.0,180.0,top
C15,0.1u,C_0603_1608Metric,165.75,-78.75,0.0,top
C16,0.1u,C_0603_1608Metric,161.0,-84.5,0.0,top
C17,0.1u,C_0603_1608Metric,161.0,-86.25,0.0,top
C18,0.1u,C_0603_1608Metric,165.75,-93.0,0.0,top
C19,47,CP_Radial_D6.3mm_P2.50mm,183.25,-122.25,-90.0,top
C2,47,CP_Radial_D6.3mm_P2.50mm,183.25,-92.5,-90.0,top
C20,1,C_0603_1608Metric,178.75,-120.75,-90.0,top
C21,330,CP_Radial_D10.0mm_P5.00mm,194.45,-126.25,0.0,top
C22,1,C_0603_1608Metric,170.0,-106.5,180.0,top
C23,0.1u,C_0603_1608Metric,183.5,-114.75,180.0,top
C24,1,C_0603_1608Metric,178.75,-109.0,90.0,top
C25,1,C_0603_1608Metric,176.0,-123.5,0.0,top
C26,1,C_0603_1608Metric,170.25,-123.5,180.0,top
C27,0.1u,C_0603_1608Metric,164.5,-110.2375,180.0,top
C28,0.1u,C_0603_1608Metric,164.5,-114.0475,0.0,top
C29,0.1u,C_0603_1608Metric,164.5,-115.9525,180.0,top
C3,1,C_0603_1608Metric,178.75,-79.0,90.0,top
C30,0.1u,C_0603_1608Metric,164.5,-119.1275,0.0,top
C31,0.1u,C_0603_1608Metric,165.75,-108.5,0.0,top
C32,0.1u,C_0603_1608Metric,161.0,-113.25,0.0,top
C33,0.1u,C_0603_1608Metric,161.0,-116.75,0.0,top
C34,0.1u,C_0603_1608Metric,166.5,-122.0,0.0,top
C35,10n,C_0603_1608Metric,166.5,-130.5,180.0,top
C36,1000,CP_Radial_D10.0mm_P5.00mm,160.75,-126.25,180.0,top
C4,1,C_0603_1608Metric,170.0,-76.5,180.0,top
C5,1,C_0603_1608Metric,176.0,-93.5,0.0,top
C6,1,C_0603_1608Metric,170.0,-93.5,180.0,top
C7,330,CP_Radial_D10.0mm_P5.00mm,194.45,-73.75,0.0,top
C8,1000,CP_Radial_D10.0mm_P5.00mm,160.75,-73.75,180.0,top
C9,10n,C_0603_1608Metric,166.5,-69.5,180.0,top
J1,main,PinSocket_2x10_P2.54mm_Vertical,193.73,-100.0,0.0,top
R1,3.3,R_0603_1608Metric,170.0,-69.5,180.0,top
R10,30k,R_0603_1608Metric,180.0,-111.75,180.0,top
R2,30k,R_0603_1608Metric,180.0,-83.5,180.0,top
R3,30k,R_0603_1608Metric,180.0,-85.0,0.0,top
R4,30k,R_0603_1608Metric,180.0,-113.25,180.0,top
R5,30k,R_0603_1608Metric,180.0,-114.75,0.0,top
R6,3.3,R_0603_1608Metric,170.0,-130.5,180.0,top
R7,30k,R_0603_1608Metric,180.0,-81.75,180.0,top
R8,30k,R_0603_1608Metric,180.75,-87.75,0.0,top
R9,30k,R_0603_1608Metric,180.75,-117.75,0.0,top
U1,DRV8412,HTSSOP-44-1EP_6.1x14mm_P0.635mm_EP5.2x14mm_Mask4.31x8.26mm_ThermalVias,173.0,-115.0,180.0,top
U2,DRV8412,HTSSOP-44-1EP_6.1x14mm_P0.635mm_EP5.2x14mm_Mask4.31x8.26mm_ThermalVias,173.0,-85.0,180.0,top
